"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"P5";"Pad01";1;"CONN_1";;;
2;"D2,D1";"DO-35";2;"ZD_5V1";;;
3;"K1";"bornier3";1;"BAT_MON";;;
4;"K2";"bornier3";1;"LOAD";;;
5;"K3";"pin_strip_6";1;"FTDI";;;
6;"C1,C2";"cnp_3mm_disc";2;"22p";;;
7;"SW1";"SW_PB_V";1;"RST";;;
8;"C5";"CP_5x11mm";1;"100u";;;
9;"K4";"pin_strip_3x2";1;"ISP";;;
10;"U3";"dil_28-300_socket";1;"ATMEGA328-P";;;
11;"PCB1";"PCB";1;"PCB";;;
12;"U2";"TO-220_Vertical";1;"7805";;;
13;"C8,C9,C10";"C2";3;"10n";;;
14;"C7,C6,C4,C3";"C2";4;"100n";;;
15;"R8,R6";"RC03";2;"1k";;;
16;"R7";"RC03";1;"270E";;;
17;"R5";"RC03";1;"10k";;;
18;"R4,R2";"RC03";2;"40k";;;
19;"R3,R1";"RC03";2;"110k";;;
20;"P6";"pin_strip_4";1;"I2C";;;
21;"U1";"DIP-8__300_ELL";1;"SSR";;;
22;"P1,P3";"pin_strip_7";2;"METER_H";;;
23;"P4,P2";"pin_strip_7";2;"METER_L";;;
24;"D4";"led_5mm_blue";1;"PWR";;;
25;"D3";"led_5mm_clear";1;"DBG";;;
26;"X1";"XTAL";1;"16MHz";;;
27;"U4";"dil_16-300_socket";1;"ULN2003";;;
28;"DP1";"LED_4x7Seg";1;"LED_4X7SEG";;;
29;"P8,P9,P10,P7";"vite_3mm";4;"CONN_1";;;
30;"P25,P24";"PROTO-6";2;"DIL6";;;
