ref	value	footprint	Field1	Field2	Field3	Field4	Field5	Field6	Field7	Field8
C3	100n	C2								
C6	100n	C2								
C7	100n	C2								
C8	100u	CP_5x11mm								
C9	100n	C2								
CD1	CDOT1	pin_strip_4								
CD2	CDOT2	pin_strip_4								
CD3	CDOT3	pin_strip_4								
D1	LED									
D2	LED									
D3	LED									
D4	LED									
D5	LED									
D6	LED									
D7	LED									
D8	LED									
D9	LED									
D10	LED									
D11	LED									
D12	LED									
D13	LED									
D14	LED									
D15	LED									
D16	LED									
D17	LED									
D18	LED									
D19	LED									
D20	LED									
D21	LED									
D22	LED									
D23	LED									
D24	LED									
D25	LED									
D26	LED									
D27	LED									
D28	LED									
D29	LED									
D30	LED									
D31	LED									
D32	LED									
D33	LED									
D34	LED									
D35	LED									
D36	LED									
D37	LED									
D38	LED									
D39	LED									
D40	LED									
D41	LED									
D42	LED									
D43	LED									
D44	LED									
D45	LED									
D46	LED									
D47	LED									
D48	LED									
D49	LED									
D50	LED									
D51	LED									
D52	LED									
D53	LED									
D54	LED									
D55	LED									
D56	LED									
D57	LED									
D58	LED									
D59	LED									
D60	LED									
D61	LED									
D62	LED									
D63	LED									
D64	LED									
D65	LED									
D66	LED									
D67	LED									
D68	LED									
D69	LED									
D70	LED									
D71	LED									
D72	LED									
D73	LED									
D74	LED									
D75	LED									
D76	LED									
D77	LED									
D78	LED									
D79	LED									
D80	LED									
D81	LED									
D82	LED									
D83	LED									
D84	LED									
D85	LED									
D86	LED									
D87	LED									
D88	LED									
D89	LED									
D90	LED									
D91	LED									
D92	LED									
D93	LED									
D94	LED									
D95	LED									
D96	LED									
D97	LED									
D98	LED									
D99	LED									
D100	LED									
D101	LED									
D102	LED									
D103	LED									
D104	LED									
D105	LED									
D106	LED									
D107	LED									
D108	LED									
D109	LED									
D110	LED									
D111	LED									
D112	LED									
D113	LED									
D114	LED									
D115	LED									
D116	LED									
D117	LED									
D118	LED									
D119	LED									
D120	LED									
D121	LED									
D122	LED									
D123	LED									
D124	LED									
D125	LED									
D126	LED									
D127	LED									
D128	LED									
D257	1N4148	diode_do35								
D258	DBG	led_5mm_blue								
D260	PWR	led_5mm_blue								
DIL-U1	STP16DP05	SCK-24_600_ELL	497-5975-1-ND							
J1	V_IN	JACK_ALIM	7 - 12V DC							
K1	PWR SEL	pin_strip_3								
K2	LED_ENABLE	pin_strip_3								
P7	FTDI	PIN_STRIP_6-90								
P8	CONN_1	vite_4mm								
P9	CONN_1	vite_4mm								
P10	CONN_1	vite_4mm								
P11	CONN_1	vite_4mm								
P12	V_OUT	pin_strip_3								
P13	ISP	PIN_STRIP_3X2								
P14	CONN_1	vite_4mm								
P15	CONN_1	vite_4mm								
P16	CONN_1	vite_4mm								
P17	CONN_1	vite_4mm								
P18	CONN_1	vite_4mm								
P19	CONN_1	vite_4mm								
P20	CONN_1	vite_4mm								
P21	CONN_1	vite_4mm								
P22	CONN_1	vite_4mm								
P23	CONN_1	vite_4mm								
P24	DIL6	PROTO-6								
P25	DIL6	PROTO-6								
P26	DIL6	PROTO-6								
P27	DIL6	PROTO-6								
P28	DIL6	PROTO-6								
P29	DIL6	PROTO-6								
P30	DIL6	PROTO-6								
P31	DIL6	PROTO-6								
P32	DIL6	PROTO-6								
P33	DIL6	PROTO-6								
P34	DIL6	PROTO-6								
P35	DIL6	PROTO-6								
P36	DIL6	PROTO-6								
P37	DIL6	PROTO-6								
P38	DIL6	PROTO-6								
P39	DIL6	PROTO-6								
P41	STACK-L	pin_sck_4-90								
P42	STACK-R	PIN_STRIP_4-90								
P43	CONN_1	Pad01								
P49	CONN_1	vite_3mm								
P50	CONN_1	vite_3mm								
P51	CONN_1	vite_3mm								
P52	CONN_1	vite_3mm								
Q1	2N5401	to92_2N5401								
Q2	2N5401	to92_2N5401								
Q3	2N5401	to92_2N5401								
Q4	2N5401	to92_2N5401								
Q5	2N5401	to92_2N5401								
Q6	2N5401	to92_2N5401								
Q7	2N5401	to92_2N5401								
Q8	2N5401	to92_2N5401								
Q9	2N5401	to92_2N5401								
Q10	2N5401	to92_2N5401								
Q11	2N5401	to92_2N5401								
Q12	2N5401	to92_2N5401								
Q13	2N5401	to92_2N5401								
Q14	2N5401	to92_2N5401								
Q15	2N5401	to92_2N5401								
Q16	2N5401	to92_2N5401								
Q17	2N5401	to92_2N5401	2N5401RLRAGOSCT-ND							
R1	100	RC03								
R2	100	RC03								
R3	100	RC03								
R4	100	RC03								
R5	100	RC03								
R6	100	RC03								
R7	100	RC03								
R8	100	RC03								
R9	100	RC03								
R10	100	RC03								
R11	100	RC03								
R12	100	RC03								
R13	100	RC03								
R14	100	RC03								
R15	100	RC03								
R16	100	RC03								
R17	10k	RC03								
R18	10k	RC03								
R19	10k	RC03								
R20	4k7	RC03								
R21	4k7	RC03								
R22	10k	RC03								
R23	10k	RC03								
R25	1k	RC03								
R26	1k	RC03								
R30	100E	RC03								
R31	10K	RC03								
R32	LDR	pin_strip_2								
R33	680E	RC03								
rowBoB1	CONN_1	vite_3mm								
SP1	SPEAKER	SPEAKER	102-1169-ND							
SW1	INC	SW_PB_V	P10884S-ND							
SW2	DEC	SW_PB_V	P10884S-ND							
SW3	MODE	SW_PB_V	P10884S-ND							
SW4	RST	SW_PB_V	P10884S-ND							
SW5	ENTER	SW_PB_V	P10884S-ND							
U3	ATMEGA8-P	dil_28-300_socket								
U4	74LS154	DIP-24__600_ELL	296-8757-5-ND							
X1	16MHz	XTAL	490-1214-ND							
