"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37";"PROTO-6";14;"DIL6";;;
2;"C12,C11";"cnp_3mm_disc";2;"22p";;;
3;"U6";"dil_08-300_socket";1;"DS1307";;;
4;"U2,U1,U4,U5";"dil_16-300_socket";4;"74HC595";;;
5;"U8,U7";"dil_18-300_socket";2;"UDN2981A";;;
6;"R11";"pin_strip_2";1;"LDR";;;
7;"P13";"pin_strip_3x2";1;"ISP";;;
8;"P7";"pin_strip_6-90";1;"FTDI";;;
9;"P52,P51,P50,P49";"vite_3mm";4;"CONN_1";;;
10;"P8,P9,P10,P11";"vite_4mm";4;"CONN_1";;;
11;"P42";"pin_strip_4-90";1;"STACK-R";;;
12;"A0,A1,A2,D13,P4";"Pad01";5;"CONN_1";;;
13;"D4";"diode_do35";1;"3V3_Z";;;
14;"SW1";"SW_PB_V_H";1;"MODE";;;
15;"SW2";"SW_PB_V_H";1;"HOUR+";;;
16;"SW3";"SW_PB_V_H";1;"MIN+";;;
17;"SW4";"SW_PB_V_H";1;"RST";;;
18;"SW5";"SW_PB_V_H";1;"ENTER";;;
19;"X2";"XTAL_3";1;"CRYSTAL";;;
20;"U10";"DS3231";1;"DS3231N";;;
21;"R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27";"RC03";16;"6E8";;;
22;"U3";"dil_28-300_socket";1;"ATMEGA8-P";;;
23;"D3";"led_5mm_blue";1;"PWR";;;
24;"D1";"led_5mm_green";1;"GRN";;;
25;"D2";"led_5mm_yellow";1;"YEL";;;
26;"R1,R2,R3,R4,R5,R32,R33";"rc03_vert";7;"10k";;;
27;"R6,R7,R28,R30,R35";"rc03_vert";5;"4k7";;;
28;"R8,R9,R31";"rc03_vert";3;"1k";;;
29;"R10";"rc03_vert";1;"10K";;;
30;"R29";"rc03_vert";1;"220";;;
31;"P3";"pin_strip_2";1;"SCL";;;
32;"P2";"pin_strip_2";1;"SDA";;;
33;"C10,C9,C7,C3,C1,C4,C5,C6,C13,C14,C15,C17";"C2";12;"100n";;;
34;"G1,G2";"OSHW_6mm";2;"OHS_Logo";;;
35;"G3,G4";"Logo-WL3";2;"Wyo_Logo";;;
36;"P41";"pin_sck_4-90";1;"STACK-L";;;
37;"CD1";"pin_strip_4";1;"CDOT1";;;
38;"CD2";"pin_strip_4";1;"CDOT2";;;
39;"CD3";"pin_strip_4";1;"CDOT3";;;
40;"K1";"pin_strip_3";1;"PWR_SEL";;;
41;"X1";"XTAL_2";1;"16MHz";;;
42;"P1";"pin_strip_6";1;"DCF77";;;
43;"U9";"Volt_Reg_78xx_Vert";1;"78L05";;;
44;"PCB1";"PCB";1;"PCB";;;
45;"K2";"pin_strip_3";1;"CONN_3";;;
46;"D5";"diode_do35";1;"1N4007";;;
47;"P5";"pin_strip_16x2";1;"ANODES";;;
48;"P6";"pin_strip_16x2";1;"KATHODES";;;
49;"P20";"JACK_ALIM";1;"DC_IN";;;
50;"R34";"rc03_vert";1;"820E";;;
51;"D6,D7,D8,D9";"diode_do35";4;"1N4148";;;
52;"C2,C8";"CP_5x11mm";2;"100u";;;
53;"C16";"CP_14x10mm";1;"0.47mF,5V5";;;
