# Created by VisualPlace version 1.7.4877 at Thu Jul 25 18:04:02 2013
# Report origin: (0.0/0.0) = lower left corner of PCB
# Units: inch
"Designator","Value","X","Y","Rotation","Side","Package"

"C6","22pF","2.3880","7.6854","270.0","Bottom","c_0603"
"C9","22pF","2.5555","7.6854","270.0","Bottom","c_0603"
"C2","0.1u,16V","1.1705","8.1504","180.0","Bottom","c_0805"
"C3","0.1u,16V","3.9355","6.8979","90.0","Bottom","c_0805"
"C4","0.1u,16V","1.0455","7.3804","180.0","Bottom","c_0805"
"C5","0.1u,16V","0.9130","7.0429","0.0","Bottom","c_0805"
"C8","0.1u,16V","1.4730","7.5879","0.0","Bottom","c_0805"
"C26","0.1u,16V","2.5030","8.1404","270.0","Bottom","c_0805"
"C27","0.1u,16V","1.6305","7.4504","270.0","Bottom","c_0805"
"C29","0.1u,16V","2.2830","7.7179","90.0","Bottom","c_0805"
"C31","0.1u,16V","2.7305","8.6854","90.0","Bottom","c_0805"
"C32","0.1u,16V","0.8855","6.8429","180.0","Bottom","c_0805"
"C33","0.1u,16V","1.0880","6.8429","0.0","Bottom","c_0805"
"C34","0.1u,16V","0.4530","7.6204","90.0","Bottom","c_0805"
"C21","1u,10V","2.8055","7.9504","0.0","Bottom","c_0805"
"C7","1u,16V","1.4730","7.3154","180.0","Bottom","c_0805"
"C10","2.2u,10V","3.3785","7.1384","270.0","Bottom","c_0805"
"C1","2.2u,16V","3.7105","6.8979","90.0","Bottom","c_0805"
"C11","2.2u,16V","3.2305","7.1379","270.0","Bottom","c_0805"
"C12","2.2u,16V","2.9855","7.4404","180.0","Bottom","c_0805"
"C14","2.2u,16V","2.9855","7.5604","180.0","Bottom","c_0805"
"C17","2.2u,16V","2.8055","7.7179","180.0","Bottom","c_0805"
"C18","2.2u,16V","2.9855","7.8004","180.0","Bottom","c_0805"
"C19","2.2u,16V","2.8055","7.8354","180.0","Bottom","c_0805"
"C20","2.2u,16V","2.9855","7.9229","180.0","Bottom","c_0805"
"C24","2.2u,16V","2.8055","8.2204","180.0","Bottom","c_0805"
"C25","2.2u,16V","2.9855","8.2804","180.0","Bottom","c_0805"
"C28","2.2u,16V","2.3630","8.1404","270.0","Bottom","c_0805"
"C30","2.2u,16V","2.0405","7.9854","180.0","Bottom","c_0805"
"C35","2.2u,16V","2.0405","8.1429","180.0","Bottom","c_0805"
"C13","2.2u,25V","2.8055","7.4754","180.0","Bottom","c_0805"
"C15","2.2u,25V","2.8055","7.5954","180.0","Bottom","c_0805"
"C16","2.2u,25V","2.9855","7.6804","180.0","Bottom","c_0805"
"C22","2.2u,25V","2.8055","8.1004","180.0","Bottom","c_0805"
"C23","2.2u,25V","2.9855","8.1604","180.0","Bottom","c_0805"
"R14","1k5","1.0430","7.5154","180.0","Bottom","r_0805"
"R9","2k","2.9855","8.0404","180.0","Bottom","r_0805"
"R4","10k","1.5740","8.6104","0.0","Bottom","r_0805"
"R5","10k","1.1740","8.6104","0.0","Bottom","r_0805"
"R6","10k","1.9740","8.6104","0.0","Bottom","r_0805"
"R7","10k","0.8670","8.6104","180.0","Bottom","r_0805"
"R8","10k","1.3230","6.6479","270.0","Bottom","r_0805"
"R13","10k","2.3740","8.6104","0.0","Bottom","r_0805"
"R16","10k","1.0480","7.2804","0.0","Bottom","r_0805"
"R1","33k","3.7105","7.0954","270.0","Bottom","r_0805"
"R2","33k","3.8230","6.8954","270.0","Bottom","r_0805"
"R10","100k","2.8655","8.4754","90.0","Bottom","r_0805"
"R11","100k","3.1405","8.4754","270.0","Bottom","r_0805"
"R12","100k","2.7605","8.4754","90.0","Bottom","r_0805"
"X1","8MHz","2.4955","7.5329","180.0","Bottom","Xtal_SMD"
"D1","BAT54SW","2.6455","8.1604","180.0","Bottom","SOT323"
"D2","DB2S20500L","1.6555","6.8154","0.0","Bottom","d_VMD2"
"Q2","2N7002KW","3.5730","7.1329","0.0","Bottom","SOT323"
"Q4","2N7002KW","2.6455","8.0404","0.0","Bottom","SOT323"
"Q5","2N7002KW","2.6455","8.2904","0.0","Bottom","SOT323"
"Q6","2N7002KW","3.0055","8.4754","0.0","Bottom","SOT323"
"Q3","BSS84W","3.5730","7.0129","0.0","Bottom","SOT323"
"Q7","BSS84W","2.6380","8.4754","0.0","Bottom","SOT323"
"Q1","DMG2301U-7","3.5780","6.8879","180.0","Bottom","SOT23"
"U2","ATMEGA328-AU-ND","2.0005","7.4504","0.0","Bottom","TQFP32"
"U3","MCP1700T-33","2.2230","8.1429","180.0","Bottom","SOT23"
"U6","MCP1702T-50","2.2230","7.9854","180.0","Bottom","SOT23"
"U1","MCP9700AT-E/TT","1.4805","7.4504","270.0","Bottom","SOT23-3-Temp"
"U4","TXS0108","0.9005","7.8404","0.0","Bottom","TXS0108EPWR"
"P3","FTDI","3.1005","8.6504","0.0","Bottom","Header_FTDI"
"BT2","BATT_COIN","2.6355","6.8679","0.0","Bottom","CR2032"
"BT1","Batt_Clip","2.6355","6.8679","180.0","Bottom","CR2450_SMD"
"SD1","SD_CARD_MICRO","0.5775","6.9704","0.0","Bottom","SD_Micro_seeed"
"SW6","SW_ON","1.6305","6.5904","180.0","Bottom","SW_SLIDE_seeed"
