"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref"
1;"Q2,Q4,Q5,Q6";"SOT323";4;"2N7002KW";
2;"D1";"SOT323";1;"BAT54SW";
3;"Q3,Q7";"SOT323";2;"BSS84W";
4;"Q1";"SOT23";1;"DMG2301U-7";
5;"C2,C3,C4,C5,C8,C26,C27,C29,C31,C32,C33,C34";"c_0805";12;"0.1u,16V";
6;"C1,C11,C12,C14,C17,C18,C19,C20,C24,C25,C28,C30,C35";"c_0805";13;"2.2u,16V";
7;"C15,C13,C16,C22,C23";"c_0805";5;"2.2u,25V";
8;"C10";"c_0805";1;"2.2u,10V";
9;"C7";"c_0805";1;"1u,16V";
10;"C21";"c_0805";1;"1u,10V";
11;"R1,R2";"r_0805";2;"33k";
12;"R10,R11,R12";"r_0805";3;"100k";
13;"R9";"r_0805";1;"2k";
14;"R3";"r_0805";1;"0R(NC)";
15;"R4,R5,R6,R7,R8,R13,R16";"r_0805";7;"10k";
16;"U1";"SOT23-3-Temp";1;"MCP9700AT-E/TT";
17;"A3,AD7_3V3,PB2,AD7,B3";"I/O";5;"I/O";
18;"P3";"Header_FTDI";1;"FTDI";
19;"U2";"TQFP32";1;"ATMEGA328-AU-ND";
20;"H1,H2";"vite_3mm";2;"I/O";
21;"P4";"pin_strip_4-90";1;"C3SB";
22;"P1";"PCB";1;"PCB";
23;"SHIELD1";"ARDUINO_SHIELD_040pins";1;"ARDUINO_SHIELD";
24;"U3";"SOT23";1;"MCP1700T-33";
25;"SW4";"SW-PB";1;"RST";
26;"SW1";"SW-PB";1;"UP";
27;"SW2";"SW-PB";1;"SEL";
28;"SW3";"SW-PB";1;"DOWN";
29;"P2";"Header_ISP";1;"ISP";
30;"SW5";"SW-PB";1;"MODE";
31;"P7";"USB_B_Micro";1;"UUSB_B";
32;"U6";"SOT23";1;"MCP1702T-50";
33;"D2";"d_VMD2";1;"DB2S20500L";
34;"U5";"SO8E";1;"DS1307";
35;"SD1";"SD_Micro";1;"SD_CARD_MICRO";
36;"C6,C9";"c_0603";2;"22pF";
37;"X1";"Xtal_SMD";1;"8MHz";
38;"P6";"JACK_ALIM";1;"V_IN";
39;"G1";"wyo_logo";1;"WYO";
40;"G2";"seeed";1;"seeed";
41;"G3";"repaper_logo";1;"repaper";
42;"G4";"OSHW_logo";1;"OSHW";
43;"X2";"XTAL_3";1;"32.768kHz";
44;"U4";"SO20L";1;"TXS0108";
45;"BT1";"CR2032_SMD";1;"Batt_Clip";
46;"P5";"CONN_JST-2_SMD";1;"JST_3V3";
47;"J4";"ZIF-40-0.5-M_Hirose";1;"ZIF-40-0.5";
48;"BT2";"CR2032";1;"BATT_COIN";
