"Id"	"Designator"	"Package"	"Quantity"	"Designation"	"Supplier and ref"
1	"B2,B3,B15"	"I/O"	3	"I/O"	
2	"BT1"	"CR1632_2"	1	"BATT_RTC"	
3	"C10,C11"	"c_0805"	2	"22p"	
4	"C1,C2,C4,C7,C9,C12,C13,C14"	"c_0805"	8	"100n"	
5	"C15"	"c_0805"	1	"1n"	
6	"C16"	"c_0805"	1	"10n"	
7	"C3"	"c_0805"	1	"2u2_Tant"	
8	"C5"	"c_0805"	1	"2u2"	
9	"C6"	"C_ELCO_SMD"	1	"100u,25V"	
10	"C8"	"C_ELCO_SMD"	1	"47u,10V"	
11	"D3,D4"	"d_VMD2"	2	"RB886G"	
12	"D5,D8"	"do_457"	2	"MBRM110LT1G"	
13	"D1,D2,D6"	"led_0805"	3	"LED"	
14	"D7"	"diode-DO214AA"	1	"SMBJ5.0CA-TR"	
15	"DIP1"	"DIP"	1	"DIP"	
16	"F1,F2"	"f_1206"	2	"nanoSMDC110F"	
17	"G1,G2"	"Logo-WL3"	2	"Logo_Wyolum"	
18	"G3,G4"	"OSHW_6mm"	2	"Logo_OH"	
19	"IC1"	"DIP-28__300_ELL"	1	"ATMEGA328-PU"	
20	"P1"	"Header_GPIO"	1	"BCM2835_GPIO"	
21	"P10"	"JACK_ALIM"	1	"V_IN"	
22	"P11"	"Header_U6OE_SMT"	1	"U6_OE"	
23	"P12"	"USB_B_Micro"	1	"UUSB_B"	
24	"P13"	"Header_A_REF"	1	"AREF"	
25	"P14"	"Header_6x1"	1	"ANALOG_5V0"	
26	"P15"	"Header_6x1"	1	"ANALOG_GND"	
27	"P16"	"Header_U6OE_SMT"	1	"5V_LINK"	
28	"P2"	"Header_GPU_JTAG"	1	"GPU_JTAG"	
29	"P3"	"Header_GPU_JTAG"	1	"LAN_JTAG"	
30	"P4"	"Header_Servo"	1	"PWM_SERVO"	
31	"P5"	"Header_Servo"	1	"5V_SERVO"	
32	"P6"	"Header_Servo"	1	"GND_SERVO"	
33	"P7"	"Header_GPS"	1	"GPS_UP501"	
34	"P8"	"Header_FTDI"	1	"FTDI"	
35	"P9"	"Header_ICSP"	1	"ICSP"	
36	"PCB1"	"PCB"	1	"PCB"	
37	"Q1"	"SOT23-3"	1	"FDN340P"	
38	"R12"	"r_0805"	1	"1k"	
39	"R1,R2,R3,R4,R6,R7,R9,R10,R11,R13"	"r_0805"	10	"10k"	
40	"R14"	"r_0805"	1	"0E"	
41	"R5,R8"	"r_0805"	2	"1k5"	
42	"SD1"	"SD_Micro"	1	"SD_CARD_MICRO"	
43	"SHIELD1"	"ARDUINO_SHIELD_2_040pins"	1	"ARDUINO_SHIELD"	
44	"SW1"	"SW_SMD"	1	"SW_PUSH"	
45	"U1"	"SOT23-5"	1	"LP2985-33DBVR"	
46	"U2"	"SO14E"	1	"74HC125"	
47	"U3"	"SOT223"	1	"NCP1117ST50T3G"	
48	"U4"	"DS3231"	1	"DS3231N"	
49	"U5"	"SO8E"	1	"LM358N"	
50	"U6"	"tssop-20"	1	"TXS0108"	
51	"X1"	"Xtal_SMD2"	1	"CRYSTAL_2"	
