"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G1,G1";"Logo-WL3";2;"Logo-WL3";;;
2;"G***";"OSHW_6mm";1;"LOGO";;;
3;"B4,B5,B6,B7,B9,B12,B13,B14,B8,B3,B2,B15,P1,B1,B19,B18";"I/O";16;"I/O";;;
4;"R6,R4,R3,R7,R1,R2,R9";"r_0805";7;"10k";;;
5;"R5,R8";"r_0805";2;"470E";;;
6;"B16,B17,B10,B11";"I/O_ADR";4;"I/O";;;
7;"BT1";"CR1632";1;"BATT_RTC";;;
8;"SD1";"SD_Micro";1;"SD_CARD_MICRO";;;
9;"X1";"Xtal_SMD2";1;"CRYSTAL_2";;;
10;"SW1";"SW_SMD";1;"SW_PUSH";;;
11;"P12,P13";"Sck-04-F-SMT";2;"CD1";;;
12;"P11,P10";"Sck-04-F-SMT";2;"CD2";;;
13;"C3";"c_0805";1;"2u2_Tant";;;
14;"C11,C10";"c_0805";2;"22p";;;
15;"C9,C8,C4,C7,C1";"c_0805";5;"100n";;;
16;"C5,C2";"c_0805";2;"1u";;;
17;"C6";"C_ELCO_SMD";1;"47u,10V";;;
18;"D2,D1";"d_0805";2;"LED";;;
19;"IC1";"TQFP32";1;"ATMEGA8-AI";;;
20;"U1";"SOT23-3";1;"MCP1700T-3302E/TT";;;
21;"U3";"SOT23-5";1;"MIC5219-5.0BM5";;;
22;"U4";"DS3231";1;"DS3231N";;;
23;"U2";"SO14E";1;"74HC125";;;
24;"PCB1";"PCB";1;"PCB";;;
25;"P7";"PIN_ARRAY-6X1";1;"GPS_UP501";;;
26;"P3";"PIN_ARRAY-6X1";1;"BootDrive";;;
27;"P8";"PIN_ARRAY-6X1";1;"FTDI";;;
28;"P6";"pin_strip_2";1;"CONN_2";;;
29;"P5,P4";"PIN_ARRAY-6X1";2;"CONN_6";;;
30;"P9";"ISP";1;"ISP";;;
31;"SC1";"vite_3mm";1;"SCREW";;;
