"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C6,C5";"CP_5x11mm";2;"100u";;;
2;"U2";"SO14E";1;"74LS125";;;
3;"IC1";"TQFP32";1;"ATMEGA8-AI";;;
4;"X1";"XTAL";1;"CRYSTAL";;;
5;"SC2,SC1";"vite_3mm";2;"SCREW";;;
6;"P9";"ISP";1;"ISP";;;
7;"P8";"pin_strip_6-90";1;"FTDI";;;
8;"U1";"SOT23-3";1;"MCP_1700";;;
9;"SW1";"pin_strip_2";1;"SW_PUSH";;;
10;"D2,D1";"d_0805";2;"LED";;;
11;"R8,R5";"r_0805";2;"470E";;;
12;"C7,C1,C2";"c_0805";3;"100n";;;
13;"R2,R1,R7,R3,R4,R6";"r_0805";6;"10k";;;
14;"SD1";"Memory_Card_SD_Tyco";1;"SD_CARD";;;
15;"P12,P13";"Sck-04-F-SMT";2;"CD1";;;
16;"P11,P10";"Sck-04-F-SMT";2;"CD2";;;
17;"P5,P4,P7,P6";"pin_strip_4";4;"CONN_I/O";;;
18;"P3";"pin_strip_4";1;"COMM_L";;;
19;"P2";"pin_strip_4";1;"COMM_R";;;
20;"B8,B14,B13,B12,B11,B10,B9,B1,B7,B6,B5,B4,B3,B2";"I/O";14;"I/O";;;
