ref	value	footprint	Field1	Field2	Field3	Field4	Field5	Field6	Field7	Field8
C3	100n	C2
C4	100n	C2
C5	100u	CP_5x11mm
C6	100n	C2
C7	100n	C2
C8	10n	C2
C9	10n	C2
C10	10n	C2
D1	ZD_5V1	
D2	ZD_5V1	
D3	DBG	led_5mm_blue
D4	PWR	led_5mm_blue
DP1	LED_4X7SEG	
K1	BAT_MON	
K2	LOAD	
K3	FTDI	pin_strip_6-90
K4	ISP	pin_strip_3x2
K5	V_CUTOFF	
P1	METER_H	
P2	METER_L	
P3	METER_H	
P4	METER_L	
P5	CONN_1	
P6	I2C	
P7	CONN_1	
P8	CONN_1	
P9	CONN_1	
P10	CONN_1	
PCB1	PCB	PCB
R1	110k	RC03
R2	40k	pin_strip_2
R3	110k	RC03
R4	40k	pin_strip_2
R5	10k	RC03
R7	150E	RC03
R8	1k	RC03
R9	800E	RC03
R10	53E	RC03
R11	53E	RC03
R12	3k1	RC03
SW1	RST	SW_PB_V	P10884S-ND
U1	SSR	
U2	7805	
U3	ATMEGA328-P	dil_28-300_socket
U4	ULN2003	
X1	16MHz	XTAL	490-1214-ND
