"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D1,D11,D2,D12,D3,D13,D14,D4,D9,D19,D18,D8,D17,D7,D16,D6,D5,D10,D15,D20";"d_1206";20;"LED";;;
2;"R1,R2,R3,R4,R6,R7,R8,R9,R5,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R10";"r_0805";20;"100E";;;
3;"R21";"r_0805";1;"1k";;;
4;"C5";"c_0805";1;"100n";;;
5;"P7,P8,P9";"PROTO-6";3;"DIL6";;;
6;"Q1";"sot223";1;"PBSS9110Z";;;
7;"G2";"OSHW_6mm";1;"LOGO";;;
8;"P3";"vite_3mm";1;"CONN_1";;;
9;"G1";"Logo-WL3";1;"Logo-WL3";;;
10;"P5";"pin_strip_2";1;"DC_IN_1";;;
11;"P6";"pin_strip_3";1;"DC_IN_2";;;
12;"SP1";"pin_strip_2";1;"SPEAKER";;;
13;"P2";"Pad01";1;"CONN_1";;;
