eeschema (2010-05-05 BZR 2356)-stable  >> Creation date: 01/10/11 18:07:10

#Cmp ( order = Value )
| 100          R1        ; RC03        ;             ;             ;             ;             ;             ;             ;             ;             
| 100          R2        ; RC03        ;             ;             ;             ;             ;             ;             ;             ;             
| 100          R3        ; RC03        ;             ;             ;             ;             ;             ;             ;             ;             
| 100          R4        ; RC03        ;             ;             ;             ;             ;             ;             ;             ;             
| 100          R5        ; RC03        ;             ;             ;             ;             ;             ;             ;             ;             
| 100          R6        ; RC03        ;             ;             ;             ;             ;             ;             ;             ;             
| 100          R7        ; RC03        ;             ;             ;             ;             ;             ;             ;             ;             
| 100          R8        ; RC03        ;             ;             ;             ;             ;             ;             ;             ;             
| 100          R9        ; RC03        ;             ;             ;             ;             ;             ;             ;             ;             
| 100          R10       ; RC03        ;             ;             ;             ;             ;             ;             ;             ;             
| 100          R11       ; RC03        ;             ;             ;             ;             ;             ;             ;             ;             
| 100          R12       ; RC03        ;             ;             ;             ;             ;             ;             ;             ;             
| 100          R13       ; RC03        ;             ;             ;             ;             ;             ;             ;             ;             
| 100          R14       ; RC03        ;             ;             ;             ;             ;             ;             ;             ;             
| 100          R15       ; RC03        ;             ;             ;             ;             ;             ;             ;             ;             
| 100          R16       ; RC03        ;             ;             ;             ;             ;             ;             ;             ;             
| 100E         R30       ; RC03        ;             ;             ;             ;             ;             ;             ;             ;             
| 100n         C3        ; C2          ;             ;             ;             ;             ;             ;             ;             ;             
| 100n         C6        ; C2          ;             ;             ;             ;             ;             ;             ;             ;             
| 100n         C7        ; C2          ;             ;             ;             ;             ;             ;             ;             ;             
| 100n         C9        ; C2          ;             ;             ;             ;             ;             ;             ;             ;             
| 100u         C8        ; CP_5x11mm   ;             ;             ;             ;             ;             ;             ;             ;             
| 100u         C10       ; CP_5x11mm   ;             ;             ;             ;             ;             ;             ;             ;             
| 10k          R17       ; RC03        ;             ;             ;             ;             ;             ;             ;             ;             
| 10k          R18       ; RC03        ;             ;             ;             ;             ;             ;             ;             ;             
| 10k          R19       ; RC03        ;             ;             ;             ;             ;             ;             ;             ;             
| 10k          R22       ; RC03        ;             ;             ;             ;             ;             ;             ;             ;             
| 10k          R23       ; RC03        ;             ;             ;             ;             ;             ;             ;             ;             
| 10K          R31       ; RC03        ;             ;             ;             ;             ;             ;             ;             ;             
| 16MHz        X1        ; XTAL        ; 490-1214-ND ;             ;             ;             ;             ;             ;             ;             
| 1k           R25       ; RC03        ;             ;             ;             ;             ;             ;             ;             ;             
| 1k           R26       ; RC03        ;             ;             ;             ;             ;             ;             ;             ;             
| 1N4007       D3        ; diode_do41  ;             ;             ;             ;             ;             ;             ;             ;             
| 1N4148       D1        ; diode_do35  ;             ;             ;             ;             ;             ;             ;             ;             
| 2N5401       Q1        ; to92_2N5401 ;             ;             ;             ;             ;             ;             ;             ;             
| 2N5401       Q2        ; to92_2N5401 ;             ;             ;             ;             ;             ;             ;             ;             
| 2N5401       Q3        ; to92_2N5401 ;             ;             ;             ;             ;             ;             ;             ;             
| 2N5401       Q4        ; to92_2N5401 ;             ;             ;             ;             ;             ;             ;             ;             
| 2N5401       Q5        ; to92_2N5401 ;             ;             ;             ;             ;             ;             ;             ;             
| 2N5401       Q6        ; to92_2N5401 ;             ;             ;             ;             ;             ;             ;             ;             
| 2N5401       Q7        ; to92_2N5401 ;             ;             ;             ;             ;             ;             ;             ;             
| 2N5401       Q8        ; to92_2N5401 ;             ;             ;             ;             ;             ;             ;             ;             
| 2N5401       Q9        ; to92_2N5401 ;             ;             ;             ;             ;             ;             ;             ;             
| 2N5401       Q10       ; to92_2N5401 ;             ;             ;             ;             ;             ;             ;             ;             
| 2N5401       Q11       ; to92_2N5401 ;             ;             ;             ;             ;             ;             ;             ;             
| 2N5401       Q12       ; to92_2N5401 ;             ;             ;             ;             ;             ;             ;             ;             
| 2N5401       Q13       ; to92_2N5401 ;             ;             ;             ;             ;             ;             ;             ;             
| 2N5401       Q14       ; to92_2N5401 ;             ;             ;             ;             ;             ;             ;             ;             
| 2N5401       Q15       ; to92_2N5401 ;             ;             ;             ;             ;             ;             ;             ;             
| 2N5401       Q16       ; to92_2N5401 ;             ;             ;             ;             ;             ;             ;             ;             
| 2N5401       Q17       ; to92_2N5401 ; 2N5401RLRAGOSCT-ND;             ;             ;             ;             ;             ;             ;             
| 4k7          R20       ; RC03        ;             ;             ;             ;             ;             ;             ;             ;             
| 4k7          R21       ; RC03        ;             ;             ;             ;             ;             ;             ;             ;             
| 680E         R33       ; RC03        ;             ;             ;             ;             ;             ;             ;             ;             
| 74LS154      U4        ; DIP-24__600_ELL; 296-8757-5-ND;             ;             ;             ;             ;             ;             ;             
| 7805         U5        ; VOLT_REG_78XX;             ;             ;             ;             ;             ;             ;             ;             
| 7SegDisp     P48       ; pin_strip_8 ;             ;             ;             ;             ;             ;             ;             ;             
| ATMEGA8-P    U3        ; dil_28-300_socket;             ;             ;             ;             ;             ;             ;             ;             
| BAFFLE       BF1       ; BAFFLE      ;             ;             ;             ;             ;             ;             ;             ;             
| CDOT1        CD1       ; pin_strip_4 ;             ;             ;             ;             ;             ;             ;             ;             
| CDOT2        CD2       ; pin_strip_4 ;             ;             ;             ;             ;             ;             ;             ;             
| CDOT3        CD3       ; pin_strip_4 ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_1       P8        ; vite_4mm    ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_1       P9        ; vite_4mm    ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_1       P10       ; vite_4mm    ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_1       P11       ; vite_4mm    ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_1       P14       ; vite_4mm    ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_1       P15       ; vite_4mm    ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_1       P16       ; vite_4mm    ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_1       P17       ; vite_4mm    ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_1       P18       ; vite_4mm    ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_1       P19       ; vite_4mm    ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_1       P20       ; vite_4mm    ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_1       P21       ; vite_4mm    ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_1       P22       ; vite_4mm    ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_1       P23       ; vite_4mm    ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_1       P43       ; Pad01       ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_1       P49       ; vite_3mm    ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_1       P50       ; vite_3mm    ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_1       P51       ; vite_3mm    ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_1       P52       ; vite_3mm    ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_1       rowBoB1   ; vite_3mm    ;             ;             ;             ;             ;             ;             ;             ;             
| CONN_1       rowBoB2   ; vite_3mm    ;             ;             ;             ;             ;             ;             ;             ;             
| DBG          D2        ; led_5mm_blue;             ;             ;             ;             ;             ;             ;             ;             
| DEC          SW2       ; SW_PB_V     ; P10884S-ND  ;             ;             ;             ;             ;             ;             ;             
| DIFFUSER     DF1       ; DIFFUSER    ;             ;             ;             ;             ;             ;             ;             ;             
| DIL6         P24       ; PROTO-6     ;             ;             ;             ;             ;             ;             ;             ;             
| DIL6         P25       ; PROTO-6     ;             ;             ;             ;             ;             ;             ;             ;             
| DIL6         P26       ; PROTO-6     ;             ;             ;             ;             ;             ;             ;             ;             
| DIL6         P27       ; PROTO-6     ;             ;             ;             ;             ;             ;             ;             ;             
| DIL6         P28       ; PROTO-6     ;             ;             ;             ;             ;             ;             ;             ;             
| DIL6         P29       ; PROTO-6     ;             ;             ;             ;             ;             ;             ;             ;             
| DIL6         P30       ; PROTO-6     ;             ;             ;             ;             ;             ;             ;             ;             
| DIL6         P31       ; PROTO-6     ;             ;             ;             ;             ;             ;             ;             ;             
| DIL6         P32       ; PROTO-6     ;             ;             ;             ;             ;             ;             ;             ;             
| DIL6         P33       ; PROTO-6     ;             ;             ;             ;             ;             ;             ;             ;             
| DIL6         P34       ; PROTO-6     ;             ;             ;             ;             ;             ;             ;             ;             
| DIL6         P35       ; PROTO-6     ;             ;             ;             ;             ;             ;             ;             ;             
| DIL6         P36       ; PROTO-6     ;             ;             ;             ;             ;             ;             ;             ;             
| DIL6         P37       ; PROTO-6     ;             ;             ;             ;             ;             ;             ;             ;             
| DIL6         P38       ; PROTO-6     ;             ;             ;             ;             ;             ;             ;             ;             
| DIL6         P39       ; PROTO-6     ;             ;             ;             ;             ;             ;             ;             ;             
| ENTER        SW5       ; SW_PB_V     ; P10884S-ND  ;             ;             ;             ;             ;             ;             ;             
