"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37";"PROTO-6";14;"DIL6";;;
2;"C12,C11";"cnp_3mm_disc";2;"22p";;;
3;"C8,C2";"CP_5x11mm";2;"100u";;;
4;"U6";"dil_08-300_socket";1;"DS1307";;;
5;"U2,U1,U4,U5";"dil_16-300_socket";4;"74HC595";;;
6;"U8,U7";"dil_18-300_socket";2;"UDN2981A";;;
7;"R11";"pin_strip_2";1;"LDR";;;
8;"P13";"pin_strip_3x2";1;"ISP";;;
9;"P7";"pin_strip_6-90";1;"FTDI";;;
10;"P52,P51,P50,P49";"vite_3mm";4;"CONN_1";;;
11;"P8,P9,P10,P11";"vite_4mm";4;"CONN_1";;;
12;"BT1";"CR2032";1;"BATT_RTC";;;
13;"P42";"pin_strip_4-90";1;"STACK-R";;;
14;"A0,A1,A2,D13,P4";"Pad01";5;"CONN_1";;;
15;"D4";"diode_do35";1;"3V3_Z";;;
16;"SW1";"SW_PB_V_H";1;"MODE";;;
17;"SW2";"SW_PB_V_H";1;"HOUR+";;;
18;"SW3";"SW_PB_V_H";1;"MIN+";;;
19;"SW4";"SW_PB_V_H";1;"RST";;;
20;"SW5";"SW_PB_V_H";1;"ENTER";;;
21;"X2";"XTAL_3";1;"CRYSTAL";;;
22;"U10";"DS3231";1;"DS3231N";;;
23;"R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27";"RC03";16;"R";;;
24;"U3";"dil_28-300_socket";1;"ATMEGA8-P";;;
25;"D3";"led_5mm_blue";1;"PWR";;;
26;"D1";"led_5mm_green";1;"GRN";;;
27;"D2";"led_5mm_yellow";1;"YEL";;;
28;"R1,R2,R3,R4,R5,R28,R32,R33";"rc03_vert";8;"10k";;;
29;"R6,R7,R30";"rc03_vert";3;"4k7";;;
30;"R8,R9,R31";"rc03_vert";3;"1k";;;
31;"R10";"rc03_vert";1;"10K";;;
32;"R29";"rc03_vert";1;"R";;;
33;"P3";"pin_strip_2";1;"SCL";;;
34;"P2";"pin_strip_2";1;"SDA";;;
35;"C10,C9,C7,C3,C1,C4,C5,C6,C13,C14,C15";"C2";11;"100n";;;
36;"G***,G***";"OSHW_6mm";2;"LOGO";;;
37;"G1,G1";"Logo-WL3";2;"Logo-WL3";;;
38;"P41";"pin_sck_4-90";1;"STACK-L";;;
39;"CD1";"pin_strip_4";1;"CDOT1";;;
40;"CD2";"pin_strip_4";1;"CDOT2";;;
41;"CD3";"pin_strip_4";1;"CDOT3";;;
42;"K1";"pin_strip_3";1;"PWR_SEL";;;
43;"X1";"XTAL_2";1;"16MHz";;;
44;"P1";"pin_strip_6";1;"DCF77";;;
45;"U9";"Volt_Reg_78xx_Vert";1;"78L05";;;
46;"PCB1";"PCB";1;"PCB";;;
47;"K2";"pin_strip_3";1;"CONN_3";;;
48;"D5";"diode_do35";1;"1N4007";;;
49;"P5";"pin_strip_16x2";1;"ANODES";;;
50;"P6";"pin_strip_16x2";1;"KATHODES";;;
51;"P20";"JACK_ALIM";1;"DC_IN";;;
