"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Q5,Q2,Q4,Q6";"SOT323";4;"2N7002KW";;;
2;"D1";"SOT323";1;"BAT54SW";;;
3;"Q7,Q3";"SOT323";2;"BSS84W";;;
4;"Q1";"SOT23";1;"AP2305";;;
5;"C5,C26,C4,C2,C8,C29,C3,C27,C31,C32,C33,C34";"c_0805";12;"0.1u,16V";;;
6;"C30,C20,C18,C17,C14,C11,C19,C24,C25,C12,C28,C1,C35";"c_0805";13;"2.2u,16V";;;
7;"C15,C13,C16,C22,C23";"c_0805";5;"2.2u,25V";;;
8;"C10";"c_0805";1;"2.2u,10V";;;
9;"C7";"c_0805";1;"1u,16V";;;
10;"C21";"c_0805";1;"1u,10V";;;
11;"R1,R2";"r_0805";2;"33k";;;
12;"R12,R11,R10";"r_0805";3;"100k";;;
13;"R9";"r_0805";1;"2k";;;
14;"R3";"r_0805";1;"0R(NC)";;;
15;"R16,R4,R5,R6,R7,R8,R13";"r_0805";7;"10k";;;
16;"U1";"SOT23-3-Temp";1;"MCP9700AT-E/TT";;;
17;"SD1";"SD_Micro";1;"SD_CARD_MICRO";;;
18;"U4";"SO20L";1;"TXS0108";;;
19;"B1,B2,B3,B4,B5";"I/O";5;"I/O";;;
20;"P3";"Header_FTDI";1;"FTDI";;;
21;"C6,C9";"c_0805";2;"22pF";;;
22;"X1";"Xtal_SMD2";1;"CRYSTAL_8MHz";;;
23;"U2";"TQFP32";1;"ATMEGA328-AU-ND";;;
24;"H1,H2";"vite_3mm";2;"I/O";;;
25;"P4";"pin_strip_4-90";1;"C3SB";;;
26;"P1";"PCB";1;"PCB";;;
27;"J4";"ZIF-40-0.5-M";1;"ZIF-40-0.5";;;
28;"SHIELD1";"ARDUINO_SHIELD_040pins";1;"ARDUINO_SHIELD";;;
29;"U3";"SOT23";1;"MCP1700T-33";;;
30;"BT1";"CR2032_SMD";1;"Batt_Clip";;;
31;"U5";"SO8E";1;"DS1307";;;
32;"SW4";"SW-PB";1;"RST";;;
33;"SW1";"SW-PB";1;"UP";;;
34;"SW2";"SW-PB";1;"SEL";;;
35;"SW3";"SW-PB";1;"DOWN";;;
36;"P2";"Header_ISP";1;"ISP";;;
37;"SW5";"SW-PB";1;"MODE";;;
38;"P5";"CONN_JST-2_SMD";1;"JST_3V3";;;
39;"P7";"USB_B_Micro";1;"UUSB_B";;;
40;"U6";"SOT23";1;"MCP1702T-50";;;
41;"D2";"d_VMD2";1;"DB2S20500L";;;
42;"X2";"XTAL_3";1;"32.768kHz";;;
