"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"P6";"Header_Servo";1;"GND_SERVO";;;
2;"P5";"Header_Servo";1;"5V_SERVO";;;
3;"P10";"JACK_ALIM";1;"V_IN";;;
4;"C15";"c_0805";1;"1n";;;
5;"D7";"diode-DO214AA";1;"SMBJ5.0CA-TR";;;
6;"C16";"c_0805";1;"10n";;;
7;"D6,D2,D1";"led_0805";3;"LED";;;
8;"U6";"tssop-20";1;"TXS0108";;;
9;"R13,R6,R4,R3,R7,R1,R2,R9,R10,R11";"r_0805";10;"10k";;;
10;"C14,C13,C12,C7,C1,C4,C9,C2";"c_0805";8;"100n";;;
11;"PCB1";"PCB";1;"PCB";;;
12;"U2";"SO14E";1;"74HC125";;;
13;"SW1";"SW_SMD";1;"SW_PUSH";;;
14;"C11,C10";"c_0805";2;"22p";;;
15;"C5";"c_0805";1;"2u2";;;
16;"C3";"c_0805";1;"2u2_Tant";;;
17;"DIP1";"DIP";1;"DIP";;;
18;"R5,R8";"r_0805";2;"1k5";;;
19;"B3,B2,B15";"I/O";3;"I/O";;;
20;"X1";"Xtal_SMD2";1;"CRYSTAL_2";;;
21;"U4";"DS3231";1;"DS3231N";;;
22;"R12";"r_0805";1;"1k";;;
23;"BT1";"CR1632_2";1;"BATT_RTC";;;
24;"U1";"SOT23-5";1;"LP2985-33DBVR";;;
25;"U3";"SOT223";1;"NCP1117ST50T3G";;;
26;"Q1";"SOT23-3";1;"FDN340P";;;
27;"U5";"SO8E";1;"LM358N";;;
28;"G3,G4";"OSHW_6mm";2;"Logo_OH";;;
29;"G1,G2";"Logo-WL3";2;"Logo_Wyolum";;;
30;"C8";"C_ELCO_SMD";1;"47u,10V";;;
31;"C6";"C_ELCO_SMD";1;"100u,25V";;;
32;"P11";"Header_U6OE";1;"U6_OE";;;
33;"P4";"Header_Servo";1;"PWM_SERVO";;;
34;"P7";"Header_GPS";1;"GPS_UP501";;;
35;"P2";"Header_GPU_JTAG";1;"GPU_JTAG";;;
36;"P3";"Header_GPU_JTAG";1;"LAN_JTAG";;;
37;"P12";"USB_B_Micro";1;"UUSB_B";;;
38;"IC1";"DIP-28__300_ELL";1;"ATMEGA328-PU";;;
39;"SHIELD1";"ARDUINO_SHIELD_2_040pins";1;"ARDUINO_SHIELD";;;
40;"P1";"Header_GPIO";1;"BCM2835_GPIO";;;
41;"P9";"Header_ICSP";1;"ICSP";;;
42;"P8";"Header_FTDI";1;"FTDI";;;
43;"SD1";"SD_Micro";1;"SD_CARD_MICRO";;;
44;"D3,D4";"d_VMD2";2;"RB886G";;;
45;"F1,F2";"f_1206";2;"nanoSMDC110F";;;
46;"D5,D8";"do_457";2;"MBRM110LT1G";;;
