"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SC1";"vite_3mm";1;"SCREW";;;
2;"P9";"ISP";1;"ISP";;;
3;"P4,P5";"PIN_ARRAY-6X1";2;"CONN_6";;;
4;"P6";"pin_strip_2";1;"CONN_2";;;
5;"P8";"PIN_ARRAY-6X1";1;"FTDI";;;
6;"P3";"PIN_ARRAY-6X1";1;"BootDrive";;;
7;"P7";"PIN_ARRAY-6X1";1;"GPS_UP501";;;
8;"PCB1";"PCB";1;"PCB";;;
9;"R9,R2,R1,R7,R3,R4,R6";"r_0805";7;"10k";;;
10;"U2";"SO14E";1;"74HC125";;;
11;"B18,B19,B1,P1,B15,B2,B3,B8,B14,B13,B12,B9,B7,B6,B5,B4";"I/O";16;"I/O";;;
12;"U4";"DS3231";1;"DS3231N";;;
13;"U3";"SOT23-5";1;"MIC5219-5.0BM5";;;
14;"U1";"SOT23-3";1;"MCP1700T-3302E/TT";;;
15;"IC1";"TQFP32";1;"ATMEGA8-AI";;;
16;"D1,D2";"d_0805";2;"LED";;;
17;"C6";"C_ELCO_SMD";1;"47u,10V";;;
18;"C2,C5";"c_0805";2;"1u";;;
19;"C1,C7,C4,C8,C9";"c_0805";5;"100n";;;
20;"C10,C11";"c_0805";2;"22p";;;
21;"C3";"c_0805";1;"2u2_Tant";;;
22;"P13,P12";"Sck-04-F-SMT";2;"CD1";;;
23;"P10,P11";"Sck-04-F-SMT";2;"CD2";;;
24;"SW1";"SW_SMD";1;"SW_PUSH";;;
25;"X1";"Xtal_SMD2";1;"CRYSTAL_2";;;
26;"SD1";"SD_Micro";1;"SD_CARD_MICRO";;;
27;"BT1";"CR1632";1;"BATT_RTC";;;
28;"B11,B10,B17,B16";"I/O_ADR";4;"I/O";;;
29;"R8,R5";"r_0805";2;"470E";;;
30;"G***";"OSHW_6mm";1;"LOGO";;;
31;"G1,G1";"Logo-WL3";2;"Logo-WL3";;;
