ref	value	footprint	Field1	Field2	Field3	Field4	Field5	Field6	Field7	Field8
B1	I/O	I/O
B2	I/O	I/O
B3	I/O	I/O
B4	I/O	I/O
B5	I/O	I/O
B6	I/O	I/O
B7	I/O	I/O
B8	I/O	I/O
B9	I/O	I/O
B10	I/O	I/O_ADR
B11	I/O	I/O_ADR
B12	I/O	I/O
B13	I/O	I/O
B14	I/O	I/O
B15	I/O	I/O
B16	I/O	I/O_ADR
B17	I/O	I/O_ADR
B18	I/O	I/O
B19	I/O	I/O
BT1	BATT_RTC	CR2032	BU2032SM-HD-GCT-ND 
C1	100n	CP_5x11mm
C2	1u	CP_5x11mm
C3	2u2 Tant	C2
C4	100n	C2
C5	1u	c_0805
C6	47u,10V	C2
C7	100n	C2
C8	100n	CP_5x11mm
C9	100n	C2
C10	22p	C2	490-1734-1-ND
C11	22p	cnp_3mm_disc	490-1734-1-ND
D1	LED	led_5mm_clear
D2	LED	led_5mm_clear
IC1	ATMEGA8-AI	TQFP32
P1	I/O	pin_strip_8
P3	BootDrive	pin_strip_6-90
P4	CONN_6	PIN_ARRAY-6X1
P5	CONN_6	PIN_ARRAY-6X1
P6	CONN_2	pin_strip_2
P7	GPS_UP501	
P8	FTDI	vite_4mm
P9	ISP	vite_4mm
P10	CD2	vite_4mm
P11	CD2	vite_4mm
P12	CD1	Sck-04-F-SMT
P13	CD1	pin_strip_3x2
PCB1	PCB	PCB
R1	10k	rc03_vert_LED
R2	10k	rc03_vert_LED
R3	10k	rc03_vert_LED
R4	10k	rc03_vert_LED
R5	470E	rc03_vert_LED
R6	10k	rc03_vert_LED
R7	10k	rc03_vert_LED
R8	470E	rc03_vert_LED
R9	10k	rc03_vert_LED
SC1	SCREW	vite_3mm
SD1	SD_CARD_MICRO	SD_Micro
SW1	SW_PUSH	SW_PB_V	
U1	MCP1700T-3302E/TT	dil_16-300_socket
U2	74HC125	TO-220_Horizontal
U3	MIC5219-5.0BM5	dil_28-300_socket
U4	DS3231N	DIP-24__600_ELL
X1	CRYSTAL_2	XTAL
