"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"P8";"PIN_ARRAY-6X1";1;"FTDI";;;
2;"P3";"PIN_ARRAY-6X1";1;"BootDrive";;;
3;"R9,R2,R1,R7,R3,R4,R6";"r_0805";7;"10k";;;
4;"U2";"SO14E";1;"74HC125";;;
5;"B18,B19,B1,P1,B15,B2,B3,B8,B14,B13,B12,B9,B7,B6,B5,B4";"I/O";16;"I/O";;;
6;"U4";"DS3231";1;"DS3231N";;;
7;"U3";"SOT23-5";1;"MIC5219-5.0BM5";;;
8;"U1";"SOT23-3";1;"MCP1700T-3302E/TT";;;
9;"IC1";"TQFP32";1;"ATMEGA8-AI";;;
10;"D1,D2";"d_0805";2;"LED";;;
11;"C6";"C_ELCO_SMD";1;"47u,10V";;;
12;"C2,C5";"c_0805";2;"1u";;;
13;"C1,C7,C4,C8,C9";"c_0805";5;"100n";;;
14;"C10,C11";"c_0805";2;"22p";;;
15;"C3";"c_0805";1;"2u2_Tant";;;
16;"PCB1";"PCB";1;"PCB";;;
17;"P13,P12";"Sck-04-F-SMT";2;"CD1";;;
18;"P10,P11";"Sck-04-F-SMT";2;"CD2";;;
19;"SW1";"SW_SMD";1;"SW_PUSH";;;
20;"X1";"Xtal_SMD2";1;"CRYSTAL_2";;;
21;"SD1";"SD_Micro";1;"SD_CARD_MICRO";;;
22;"BT1";"CR1632";1;"BATT_RTC";;;
23;"B11,B10,B17,B16";"I/O_ADR";4;"I/O";;;
24;"P5,P4";"PIN_ARRAY-6X1";2;"CONN_6";;;
25;"P6";"pin_strip_2";1;"CONN_2";;;
26;"P2";"PIN_ARRAY_4x1";1;"COMM_R";;;
27;"P9";"ISP";1;"ISP";;;
28;"R8,R5";"r_0805";2;"470E";;;
29;"SC1";"vite_3mm";1;"SCREW";;;
