"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"PCB1";"PCB";1;"PCB";;;
2;"SC1,SC2";"vite_3mm";2;"SCREW";;;
3;"B4,B5,B6,B7,B9,B12,B13,B14,B8,B3,B2,B15,P1,B1";"I/O";14;"I/O";;;
4;"P13,P12";"Sck-04-F-SMT";2;"CD1";;;
5;"P10,P11";"Sck-04-F-SMT";2;"CD2";;;
6;"C2,C5";"c_0805";2;"1u";;;
7;"R6,R4,R3,R7,R1,R2";"r_0805";6;"10k";;;
8;"C1,C7,C4,C8,C9";"c_0805";5;"100n";;;
9;"R5,R8";"r_0805";2;"470E";;;
10;"D1,D2";"d_0805";2;"LED";;;
11;"P8";"pin_strip_6-90";1;"FTDI";;;
12;"P9";"ISP";1;"ISP";;;
13;"IC1";"TQFP32";1;"ATMEGA8-AI";;;
14;"P2";"PIN_ARRAY_4x1";1;"COMM_R";;;
15;"U2";"SO14E";1;"74HC125";;;
16;"SW1";"Switch_Push_SPST";1;"SW_PUSH";;;
17;"P6";"pin_strip_2";1;"CONN_2";;;
18;"U3";"SOT23-5";1;"MIC5219-5.0BM5";;;
19;"U1";"SOT23-3";1;"MCP1700T-3302E/TT";;;
20;"C3";"C1";1;"2u2_Tant";;;
21;"U4";"DS3231";1;"DS3231N";;;
22;"C6";"C_ELCO_SMD";1;"47u,10V";;;
23;"P4,P5";"PIN_ARRAY-6X1";2;"CONN_6";;;
24;"B16,B17,B10,B11";"I/O_ADR";4;"I/O";;;
25;"SD1";"Memory_Card_uSD";1;"SD_CARD";;;
26;"X1";"XTAL";1;"CRYSTAL";;;
27;"BT1";"CR1632";1;"BATT_RTC";;;
