"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SW1";"SW_PB_V_H";1;"SW_PUSH";;;
2;"D7";"led_5mm_clear";1;"BLINK";;;
3;"D6";"led_5mm_clear";1;"3V3";;;
4;"D5";"led_5mm_clear";1;"5V0";;;
5;"C25,C24,C23,C21,C20,C17,C15,C14,C13,C12,C11,C10,C9,C8,C7,C6,C5,C4,C1";"C2";19;"100n";;;
6;"C3,C2";"cnp_3mm_disc";2;"22p";;;
7;"SC26,SC25,SC24,SC23,SC22,SC21,SC13,SC14,SC15,SC16,SC20,SC19,SC18,SC17,SC2,SC3,SC4,SC6,SC7,SC8,SC9,SC10,SC11,SC12,SC1,SC5";"vite_3mm";26;"SCREW";;;
8;"P25";"pin_strip_3-90";1;"U6_OE";;;
9;"P10,P9";"pin_strip_4-90";2;"C3SB";;;
10;"P6";"pin_strip_3-90";1;"Pulse";;;
11;"U4";"SOT223";1;"NCP1117DT33G";;;
12;"BT1";"CR2032";1;"BATT_RTC";;;
13;"M1";"Manifold2";1;"MANIFOLD";;;
14;"P21";"SIL-4";1;"Temp_Conn_BO";;;
15;"P20";"SIL-4";1;"Temp_Conn";;;
16;"U7";"DIP-28__300_ELL";1;"ATMEGA328-PU";;;
17;"PCB3";"PCB_Flow";1;"PCB_Flow";;;
18;"PCB1";"PCB";1;"PCB";;;
19;"P12";"Header_5V_Link";1;"Valve_Conn";;;
20;"P13";"Header_5V_Link";1;"Valve_Conn_BO";;;
21;"P24";"JACK_ALIM";1;"12V";;;
22;"U5";"DS3231";1;"DS3231N";;;
23;"U3";"SOT223";1;"NCP1117DT50G";;;
24;"U6";"TXS0108EPWR";1;"TXS0108";;;
25;"P26";"Header_U6OE";1;"5V_LINK";;;
26;"P19";"Conn_Pump_Flex";1;"Pump_Conn_Flex";;;
27;"P16";"FlowMeter";1;"FlowMeter";;;
28;"P7";"HCEM500GUH9P3";1;"Gage_Pr";;;
29;"P8";"HDIB002AUY8H5";1;"Abso_Pr";;;
30;"P18";"Header_FTDI";1;"Pump_Conn_BO";;;
31;"P17";"Header_FTDI";1;"Pump_Conn";;;
32;"P11";"SIL-3";1;"VSel_Vlv";;;
33;"U1";"TXB0104D";1;"TXB0104D";;;
34;"U2";"TXS0102DCTR";1;"TXS0102DCT";;;
35;"P5";"Header_FTDI";1;"FTDI";;;
36;"P3";"Header_6x1";1;"ANALOG_GND";;;
37;"P2";"Header_6x1";1;"ANALOG_5V0";;;
38;"P1";"Header_A_REF";1;"AREF";;;
39;"P27";"Header_GPIO";1;"BCM2835_GPIO";;;
40;"P4";"Header_ICSP";1;"ICSP";;;
41;"G2,G1";"Logo-WL3";2;"Logo_Wyolum";;;
42;"G4,G3";"OSHW_6mm";2;"Logo_OH";;;
43;"B3,B1,B2";"I/O";3;"I/O";;;
44;"D2,D3";"diode_do35";2;"1N5225B";;;
45;"D1,D4";"diode_do41";2;"1N4001";;;
46;"C18,C22";"cnp_3mm_disc";2;"2u2_Tant";;;
47;"C16";"c_0805";1;"100n";;;
48;"P29";"Header_F_6x2";1;"VLV_90_F";;;
49;"PCB6";"PCB_Mfold";1;"PCB_MFold";;;
50;"PCB2";"PCB_Pump";1;"PCB_Pump";;;
51;"PCB5";"PCB_Vlv";1;"PCB_Vlv";;;
52;"SHIELD1";"ARDUINO_SHIELD_2_040pins";1;"ARDUINO_SHIELD";;;
53;"D8";"led_5mm_clear";1;"12V";;;
54;"P23";"Pump";1;"Pump";;;
55;"P15";"Conn_Flow";1;"Flow_Conn";;;
56;"P14";"Valve";1;"Valve";;;
57;"R13,R10";"rc03_vert";2;"1k";;;
58;"R12,R7,R4,R3,R2,R1";"rc03_vert";6;"10k";;;
59;"R9";"rc03_vert";1;"120E";;;
60;"R8";"rc03_vert";1;"330E";;;
61;"R6,R5";"rc03_vert";2;"220E";;;
62;"C19,C26";"CP_5x11mm";2;"100u,25V";;;
63;"X1";"XTAL";1;"CRYSTAL_2";;;
64;"Q1";"TO220-3-V";1;"TIP112G";;;
65;"P22";"STS21";1;"Temp";;;
66;"P28";"2X06/90";1;"VLV_90_M";;;
67;"R11";"RC03";1;"10k";;;
