"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"P10,P9";"pin_strip_4-90";2;"C3SB";;;
2;"PCB1";"PCB";1;"PCB";;;
3;"SC8,SC9,SC10,SC7,SC3,SC4,SC2,SC6,SC5,SC1";"vite_3mm";10;"SCREW";;;
4;"P24";"JACK_ALIM";1;"PWR_IN";;;
5;"U5";"DS3231";1;"DS3231N";;;
6;"U6";"TXS0108EPWR";1;"TSX0108";;;
7;"P8";"HDIB002AUY8H5";1;"ABSO_PR";;;
8;"U1";"TXB0104D";1;"TXB0104D";;;
9;"P5";"Header_FTDI";1;"FTDI";;;
10;"SW1";"SW_PB_V_H";1;"Reset";;;
11;"BT1";"CR2032";1;"BATT_HOLDER";;;
12;"SW2";"SW_PB_V_H";1;"INT0";;;
13;"SW3";"SW_PB_V_H";1;"INT1";;;
14;"SP1";"Speaker";1;"BUZZER";;;
15;"R22,R21,R11,R1,R2,R3,R4,R12,R7";"r_0603";9;"10k";;;
16;"C27,C19,C26,C6";"C_ELCO_SMD";4;"100u,16V";;;
17;"R6,R10,R13";"r_0603";3;"1k";;;
18;"R8";"r_0603";1;"330E";;;
19;"R9";"r_0603";1;"120E";;;
20;"P15";"Conn_Flow_SFM3000_Male";1;"Flow_Conn";;;
21;"D8";"led_0805";1;"12V";;;
22;"C22,C18";"c_0805_pol";2;"2u2 Tant";;;
23;"D4,D1,D3,D2,D9";"diode-DO214AC";5;"1N4007";;;
24;"P11";"Header_3";1;"VSel_Vlv";;;
25;"U7";"TQFP32";1;"ATMEGA328-AU-ND";;;
26;"C1,C4,C5,C7,C8,C9,C10,C11,C13,C17,C20,C21,C23,C24,C25,C14,C15,C16,C31,C28,C12,C29";"c_0603";22;"100n";;;
27;"C2,C3";"c_0603";2;"22p";;;
28;"D5";"led_0805";1;"5V0";;;
29;"D6";"led_0805";1;"3V3";;;
30;"D7";"led_0805";1;"BLINK";;;
31;"U2";"ADXL345";1;"ADXL345";;;
32;"P34";"Header_3";1;"VSel_Vlv2";;;
33;"P4";"Header_ISP";1;"ICSP";;;
34;"P16";"FlowMeter_CFM3000";1;"FLOWMETER";;;
35;"P7";"HCEM500GUH9P3";1;"GAGE_PR";;;
36;"X1";"Xtal_SMD3";1;"16MHz";;;
37;"P26";"ShortLink2";1;"5V_LINK";;;
38;"P25";"ShortLink2";1;"U6_OE";;;
39;"P2";"ShortLink2";1;"Alt_Add";;;
40;"P3";"ShortLink2";1;"Int1";;;
41;"P6";"ShortLink2";1;"Int2";;;
42;"Q4,Q3,Q2,Q1";"SOT223";4;"BCP5416TA";;;
43;"U3";"NCP1117ST50";1;"NCP1117ST50T3G";;;
44;"U4";"NCP1117ST33";1;"NCP1117ST33T3G";;;
45;"P27";"Header_GPIO";1;"BCM2835_GPIO";;;
46;"B4,B12";"I_O";2;"PB0";;;
47;"B1,B2,B3";"I_O";3;"I_O";;;
48;"B8";"I_O";1;"PC0";;;
49;"B9";"I_O";1;"PC1";;;
50;"B10";"I_O";1;"PC6";;;
51;"B11";"I_O";1;"PC7";;;
52;"P12";"PiPower";1;"PIPOWER";;;
53;"P13";"Header_2";1;"PWR_IN";;;
54;"P1";"ShortLink2";1;"AREF";;;
55;"P14";"X_Valve_2";1;"X_VALVE";;;
56;"P38";"X_Valve_2";1;"X_VALVE2";;;
57;"D10";"d_0805";1;"ZD5V1";;;
58;"R5";"r_0603";1;"20k";;;
59;"P17";"Pump_P54E01R_02";1;"PUMP";;;
60;"G4,G3";"OSHW_6mm";2;"Logo_OH";;;
