I_O;3;"B1 B2 B3";I_O;
PB0;2;"B4 B12";I_O;
PC0;1;"B8";I_O;
PC1;1;"B9";I_O;
PC6;1;"B10";I_O;
PC7;1;"B11";I_O;
BATT_COIN;1;"BT2";;;BATTERY LITHIUM COIN 3V 20MM;Lithium, 3V, 225mAh;CR2032;Panasonic - BSG;CR2032;Digikey;P189-ND
BATT_HOLDER;1;"BT1";CR2032;;HOLDER BATTERY COIN 20MM DIA THM;Coin Cell, Retainer;Coin, 20.0mm;Keystone Electronics;3003;Digikey;3003K-ND
22p;2;"C2 C3";c_0603;;CAP CER 22PF 50V 5% RADIAL;22pF, 50V;Radial;Vishay BC Components;K220J15C0GF5TH5;Digikey;BC1034CT-ND
100n;22;"C1 C4 C5 C7 C8 C9 C10 C11 C12 C13 C14 C15 C16 C17 C20 C21 C23 C24 C25 C28 C29 C31";c_0603;;CAP FILM 0.1UF 63VDC RADIAL;100nF, 63V;R82;Kemet;R82DC3100AA50J;Digikey;399-5863-ND
2u2 Tant;2;"C18 C22";c_0805_pol;;CAP TANT 2.2UF 16V 10% RADIAL;2u2,16V;Radial, 0.1";AVX Corporation;TAP225K016SCS;Digikey;478-1868-ND
100u,16V;4;"C6 C19 C26 C27";C_ELCO_SMD;;CAP ALUM 100UF 16V 20% RADIAL;100u,16V;Radial, Can, 6.3mm dia;Panasonic Electronic Components;ECE-A1CKA101;Digikey;P833-ND
ZD5V1;1;"D10";d_0805;
1N4007;5;"D1 D2 D3 D4 D9";diode-DO214AC;;DIODE GEN PURPOSE 50V 1A DO41;50V, 1A;DO-204AL, DO-41, Axial;Fairchild Semiconductor;1N4001;Digikey;1N4001FSCT-ND
5V0;1;"D5";led_0805;;LED SS 5MM 625NM RED DIFF;2V, 10mA;Round with Domed Top, 5mm, T-1 3/4;Kingbright Corp;WP7113ID;Digikey;754-1264-ND
3V3;1;"D6";led_0805;;LED SS 5MM 625NM RED DIFF;2V, 10mA;Round with Domed Top, 5mm, T-1 3/4;Kingbright Corp;WP7113ID;Digikey;754-1264-ND
BLINK;1;"D7";led_0805;;LED SS 5MM 625NM RED DIFF;2V, 10mA;Round with Domed Top, 5mm, T-1 3/4;Kingbright Corp;WP7113ID;Digikey;754-1264-ND
12V;1;"D8";led_0805;;LED SS 5MM 625NM RED DIFF;2V, 10mA;Round with Domed Top, 5mm, T-1 3/4;Kingbright Corp;WP7113ID;Digikey;754-1264-ND
Logo_Wyolum;2;"G1 G2";Logo-WL3;
Logo_OH;2;"G3 G4";OSHW_6mm;
MANIFOLD;1;"M1";;
Pump_Cable;1;"P18";;
FLOW_CABLE;1;"P31";;;http://www.sensirion.com/en/products/mass-flow-meters-for-gases/mass-flow-meter-em1/
Flow_Conn;1;"P15";Conn_Flow_SFM3000_Male;;Mass Flow Meter for Gases;CMOSens EM1;G3/8 thread (BSPP;Sensirion;SFM3000;Sensirion;EM1NR4R0V_1A
FLOWMETER;1;"P16";FlowMeter_CFM3000;
GAGE_PR;1;"P7";HCEM500GUH9P3;;Miniature amplified pressure sensor;HCE Series;SMD single port, barbed port;SensorTechnics;HCEM500GUH9P3;SensorTechnics;HCEM500GUH9P3
ABSO_PR;1;"P8";HDIB002AUY8H5;;Amplified pressure sensor;HDI Series;SMD, 1 port axial;SensorTechnics;HDIB002AUY8H5;SensorTechnics;HDIB002AUY8H5
PWR_IN;1;"P13";Header_2;
VSel_Vlv;1;"P11";Header_3;
VSel_Vlv2;1;"P34";Header_3;
FTDI;1;"P5";Header_FTDI;
BCM2835_GPIO;1;"P27";Header_GPIO;;CONN HEADER FMAL 26PS .1" DL TIN;Header, Female Socket;0.1", 2 row;Sullins Connector Solutions;PPTC132LFBN-RC;Digikey;S7081-ND
ICSP;1;"P4";Header_ISP;;CONN HEADER 6POS .100 STR 15AU;Header, Unshrouded, Male Pin;6 pos, 2 row, 0.1";FCI;67996-206HLF;Digikey;609-3210-ND
PWR_IN;1;"P24";JACK_ALIM;;CONN POWER JACK MALE 2.5MM CLSD;Jack, Male;2.5mm ID, 5.5mm OD;CUI Inc;PJ-002B;Digikey;CP-002B-ND
C3SB;1;"P9";pin_strip_4-90;;CONN HEADER 16POS .100 R/A 30AU;Header, Unshrouded, Male pin,;0.1" right angle;FCI;68016-116HLF;Digikey;609-3317-ND
C3SB;1;"P10";pin_strip_4-90;
PIPOWER;1;"P12";PiPower;
PUMP;1;"P17";Pump_P54E01R_02;;http://www.xavitech.com/products
AREF;1;"P1";ShortLink2;;CONN HEADER 50POS .100" SGL GOLD;Header, Unshrouded, Male pin,;0.1" pitch x 50 nos;Samtec Inc;TSW-150-07-L-S;Digikey;SAM1031-50-ND
Alt_Add;1;"P2";ShortLink2;;CONN HEADER 50POS .100" SGL GOLD;Header, Unshrouded, Male pin,;0.1" pitch x 50 nos;Samtec Inc;TSW-150-07-L-S;Digikey;SAM1031-50-ND
Int1;1;"P3";ShortLink2;;CONN HEADER 50POS .100" SGL GOLD;Header, Unshrouded, Male pin,;0.1" pitch x 50 nos;Samtec Inc;TSW-150-07-L-S;Digikey;SAM1031-50-ND
Int2;1;"P6";ShortLink2;;CONN HEADER 50POS .100" SGL GOLD;Header, Unshrouded, Male pin,;0.1" pitch x 50 nos;Samtec Inc;TSW-150-07-L-S;Digikey;SAM1031-50-ND
U6_OE;1;"P25";ShortLink2;
5V_LINK;1;"P26";ShortLink2;
X_VALVE;1;"P14";X_Valve_2;;Miniature Pneumatic Solenoid Valve;3 Port, Direct-acting poppet style;8mm Solenoid Valve;Parker Hannifin Corporation;X-1-05-S-F;Parker Hannifin Corporation;X-1-05-S-F
X_VALVE2;1;"P38";X_Valve_2;;Miniature Pneumatic Solenoid Valve;3 Port, Direct-acting poppet style;8mm Solenoid Valve;Parker Hannifin Corporation;X-1-05-S-F;Parker Hannifin Corporation;X-1-05-S-F
PCB;1;"PCB1";PCB;
BCP5416TA;4;"Q1 Q2 Q3 Q4";SOT223;;TRANS DARL NPN 2A 100V TO220AB;2A, 100V, 2W;TO-220-3;ON Semiconductor;TIP112G;Digikey;TIP112GOS-ND
1k;1;"R6";r_0603;;RES 10K OHM 1/8W 5% CF AXIAL;0.125W, 1/8W;Axial;Stackpole Electronics Inc;CF18JT10K0;Digikey;CF18JT10K0CT-ND
1k;2;"R10 R13";r_0603;;RES 1k OHM 1/8W 5% CF AXIAL;0.125W, 1/8W;Axial;Stackpole Electronics Inc;CF18JT1K00;Digikey;CF18JT1K00CT-ND
10k;9;"R1 R2 R3 R4 R7 R11 R12 R21 R22";r_0603;;RES 10K OHM 1/8W 5% CF AXIAL;0.125W, 1/8W;Axial;Stackpole Electronics Inc;CF18JT10K0;Digikey;CF18JT10K0CT-ND
20k;1;"R5";r_0603;;RES 10K OHM 1/8W 5% CF AXIAL;0.125W, 1/8W;Axial;Stackpole Electronics Inc;CF18JT10K0;Digikey;CF18JT10K0CT-ND
330E;1;"R8";r_0603;;RES 330 OHM 1/8W 5% CF AXIAL;0.125W, 1/8W;Axial;Stackpole Electronics Inc;CF18JT330R;Digikey;CF18JT330RCT-ND
120E;1;"R9";r_0603;;RES 120 OHM 1/8W 5% CF AXIAL;0.125W, 1/8W;Axial;Stackpole Electronics Inc;CF18JT120R;Digikey;CF18JT120RCT-ND
SCREW;10;"SC1 SC2 SC3 SC4 SC5 SC6 SC7 SC8 SC9 SC10";vite_3mm;
BUZZER;1;"SP1";Speaker;
Reset;1;"SW1";SW_PB_V_H;;SWITCH TACTILE SPST-NO 0.05A 12V;SPST, NO;Top actuated 6.00mm x 6.00mm;TE Connectivity;FSM2JH;Digikey;450-1649-ND
INT0;1;"SW2";SW_PB_V_H;;SWITCH TACTILE SPST-NO 0.05A 12V;SPST, NO;Top actuated 6.00mm x 6.00mm;TE Connectivity;FSM2JH;Digikey;450-1649-ND
INT1;1;"SW3";SW_PB_V_H;;SWITCH TACTILE SPST-NO 0.05A 12V;SPST, NO;Top actuated 6.00mm x 6.00mm;TE Connectivity;FSM2JH;Digikey;450-1649-ND
ADXL345;1;"U2";ADXL345;
DS3231N;1;"U5";DS3231;;IC RTC W/TCXO 16-SOIC;Clock/Calendar;16-SOIC (0.295", 7.50mm Width);Maxim Integrated;DS3231S#;Digikey;DS3231S#-ND
NCP1117ST33T3G;1;"U4";NCP1117ST33;;IC REG LDO 3.3V 1A DPAK-3;3.3V, 1A;TO-252-3, DPak (2 Leads + Tab), SC-63;ON Semiconductor;NCP1117DT33RKG;Digikey;NCP1117DT33RKGOSCT-ND
NCP1117ST50T3G;1;"U3";NCP1117ST50;;IC REG LDO 5V 1A DPAK-3;5V, 1A;TO-252-3, DPak (2 Leads + Tab), SC-63;ON Semiconductor;NCP1117DT50G;Digikey;NCP1117DT50GOS-ND
