"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"L2,L1";"Inductor_SMD3";2;"2u2H,3.0A";;;
2;"C38,C30";"c_1206";2;"10uF X7R";;;
3;"C33,C19";"c_1210";2;"22uF X7R";;;
4;"U4";"TPS62132";1;"TPS62132";;;
5;"C35,C21";"c_0805";2;"3.3nF";;;
6;"C32,C34,C20,C18";"c_0805";4;"100nF";;;
7;"C36,C37,C26,C22";"C_ELCO_SMD";4;"100uF";;;
8;"R14,R7";"r_0805";2;"100k";;;
9;"J2";"Header_2";1;"3V3_EXT";;;
10;"P10,P9";"pin_strip_4-90";2;"C3SB";;;
11;"PCB1";"PCB";1;"PCB";;;
12;"SC8,SC9,SC10,SC7,SC3,SC4,SC2,SC6,SC5,SC1";"vite_3mm";10;"SCREW";;;
13;"P24";"JACK_ALIM";1;"PWR_IN";;;
14;"U5";"DS3231";1;"DS3231N";;;
15;"U8";"TXS0108EPWR";1;"TSX0108";;;
16;"P8";"HDIB002AUY8H5";1;"ABSO_PR";;;
17;"U1";"TXB0104D";1;"TXB0104D";;;
18;"P5";"Header_FTDI";1;"FTDI";;;
19;"SW1";"SW_PB_V_H";1;"Reset";;;
20;"BT1";"CR2032";1;"BATT_HOLDER";;;
21;"SW2";"SW_PB_V_H";1;"INT0";;;
22;"SW3";"SW_PB_V_H";1;"INT1";;;
23;"SP1";"Speaker";1;"BUZZER";;;
24;"C27,C42";"C_ELCO_SMD";2;"100u,16V";;;
25;"P15";"Conn_Flow_SFM3000_Male";1;"Flow_Conn";;;
26;"D8";"led_0805";1;"12V";;;
27;"D4,D1,D3,D9";"diode-DO214AC";4;"1N4007";;;
28;"P11";"Header_3";1;"VSel_Vlv";;;
29;"U7";"TQFP32";1;"ATMEGA328-AU-ND";;;
30;"C2,C3";"c_0603";2;"22p";;;
31;"D5";"led_0805";1;"5V0";;;
32;"D6";"led_0805";1;"3V3";;;
33;"D7";"led_0805";1;"BLINK";;;
34;"U11";"ADXL345";1;"ADXL345";;;
35;"P34";"Header_3";1;"VSel_Vlv2";;;
36;"P4";"Header_ISP";1;"ICSP";;;
37;"P16";"FlowMeter_CFM3000";1;"FLOWMETER";;;
38;"P7";"HCEM500GUH9P3";1;"GAGE_PR";;;
39;"X1";"Xtal_SMD3";1;"16MHz";;;
40;"P20";"ShortLink2";1;"5V_LINK";;;
41;"P19";"ShortLink2";1;"U6_OE";;;
42;"P23";"ShortLink2";1;"Alt_Add";;;
43;"P28";"ShortLink2";1;"Int1";;;
44;"P29";"ShortLink2";1;"Int2";;;
45;"Q4,Q3,Q2,Q1";"SOT223";4;"BCP5416TA";;;
46;"B4,B12";"I_O";2;"PB0";;;
47;"B1,B2,B3";"I_O";3;"I_O";;;
48;"B8";"I_O";1;"PC0";;;
49;"B9";"I_O";1;"PC1";;;
50;"B10";"I_O";1;"PC6";;;
51;"B11";"I_O";1;"PC7";;;
52;"P13";"Header_2";1;"PWR_IN";;;
53;"P1";"ShortLink2";1;"AREF";;;
54;"P14";"X_Valve_2";1;"X_VALVE";;;
55;"P38";"X_Valve_2";1;"X_VALVE2";;;
56;"G4,G3";"OSHW_6mm";2;"Logo_OH";;;
57;"C41,C1,C4,C5,C7,C8,C9,C10,C11,C12,C13,C14,C17,C23,C28,C29,C31,C39,C40,C43,C44";"c_0805";21;"100n";;;
58;"J1";"Header_2";1;"5V_EXT";;;
59;"J3";"Header_2x2";1;"addr";;;
60;"P21,P22";"PIN_ARRAY_23X2";2;"CONN_23X2";;;
61;"R16,R17,R18,R23";"r_0805";4;"4k75";;;
62;"R19,R20";"r_0805";2;"1k5";;;
63;"U10";"BEAGLEBONE";1;"BEAGLEBONE";;;
64;"P17";"Pump_P54E01R_02";1;"PUMP";;;
65;"R1,R2,R3,R4,R11,R15,R21,R22,R26,R27";"r_0805";10;"10k";;;
66;"R5,R12";"r_0805";2;"4k7";;;
67;"R6,R10,R13";"r_0805";3;"1k";;;
68;"R8";"r_0805";1;"330E";;;
69;"R9";"r_0805";1;"120E";;;
70;"U9";"SO8E";1;"CAT24C256";;;
71;"U3";"TPS62132";1;"TPS62133";;;
72;"R24,R25";"r_0805";2;"220";;;
73;"SW4";"SW_PB_V_H";1;"PWR_BBB";;;
74;"SW5";"SW_PB_V_H";1;"GPIO1_6";;;
75;"SW6";"SW_PB_V_H";1;"GPIO1_29";;;
76;"B5";"I_O";1;"5V_ATMega";;;
77;"B6";"I_O";1;"3V3_BBB";;;
78;"Q5";"SOT23-3";1;"2N7002KW";;;
