0
G 697516 1000000 697516
R 0 1000000 1000000
D 699036 1404
G 4697464 999998 1000020
R 0 1000000 1000000
D 5204656 500524
G 9697556 999998 1000020
R 0 1000000 1000000
D 9710768 500524
G 13697628 999998 1000020
R 0 1000000 1000000
D 14216884 500524
G 18697716 999998 1000016
R 0 1000000 1000000
D 18723244 500524
G 22697788 999998 1000016
R 0 1000000 1000000
D 23229616 500528
G 27697880 999998 1000016
R 0 1000000 1000000
D 27735988 500524
G 31697952 999998 1000016
R 0 1000000 1000000
D 32242352 500528
G 36698044 999998 1000020
R 0 1000000 1000000
D 36748704 500532
G 40698116 999998 1000020
R 0 1000000 1000000
D 41255084 500528
G 45698204 999998 1000016
R 0 1000000 1000000
D 45761460 500532
G 49698280 999998 1000020
R 0 1000000 1000000
D 50267824 500532
G 54698368 999998 1000016
R 0 1000000 1000000
D 54774176 500532
G 58698440 999998 1000016
R 0 1000000 1000000
D 59280552 500536
G 63698532 999998 1000020
R 0 1000000 1000000
D 63786924 500536
G 67698604 999998 1000016
R 0 1000000 1000000
D 68293288 500536
G 72698696 999998 1000020
R 0 1000000 1000000
D 72799644 500536
G 76698768 999998 1000020
R 0 1000000 1000000
D 77306024 500536
G 81698856 999998 1000016
R 0 1000000 1000000
D 81812400 500540
G 85698932 999998 1000020
R 0 1000000 1000000
D 86318772 500536
G 90699020 999998 1000016
R 0 1000000 1000000
D 90825132 500540
G 94699092 999998 1000016
R 0 1000000 1000000
D 95331512 500544
G 99699184 999998 1000020
R 0 1000000 1000000
D 99837892 500544
G 103699256 999998 1000016
R 0 1000000 1000000
D 104344264 500544
G 108699348 999998 1000020
R 0 1000000 1000000
D 108850872 500544
G 112699420 999998 1000020
R 0 1000000 1000000
D 113357480 500544
G 117699512 999998 1000020
R 0 1000000 1000000
D 117864084 500548
G 121699584 999998 1000020
R 0 1000000 1000000
D 122370692 500544
G 126699672 999998 1000016
R 0 1000000 1000000
D 126877292 500548
G 130699744 999998 1000016
R 0 1000000 1000000
D 131383892 500552
G 135699836 999998 1000016
R 0 1000000 1000000
D 135890492 500548
G 139699908 999998 1000016
R 0 1000000 1000000
D 140397088 500552
G 144700000 999998 1000020
R 0 1000000 1000000
D 144903684 500552
G 148700072 999998 1000020
R 0 1000000 1000000
D 149410284 500552
G 153700164 999998 1000020
R 0 1000000 1000000
D 153916884 500556
G 157700236 999998 1000020
R 0 1000000 1000000
D 158423484 500556
G 162700328 999998 1000020
R 0 1000000 1000000
D 162930080 500556
G 166700400 999998 1000020
R 0 1000000 1000000
D 167436676 500556
G 171700488 999998 1000016
R 0 1000000 1000000
D 171943276 500556
G 175700560 999998 1000016
R 0 1000000 1000000
D 176449880 500560
G 180700652 999998 1000016
R 0 1000000 1000000
D 180956484 500560
G 184700724 999998 1000016
R 0 1000000 1000000
D 185463100 500560
G 189700816 999998 1000020
R 0 1000000 1000000
D 189969720 500564
G 193700888 999998 1000016
R 0 1000000 1000000
D 194476340 500564
G 198700980 999998 1000020
R 0 1000000 1000000
D 198982964 500564
G 202701052 999998 1000020
R 0 1000000 1000000
D 203489584 500564
G 207701144 999998 1000020
R 0 1000000 1000000
D 207996208 500564
G 211701216 999998 1000020
R 0 1000000 1000000
D 212502832 500564
G 216701308 999998 1000020
R 0 1000000 1000000
D 217009452 500568
G 220701380 999998 1000020
R 0 1000000 1000000
D 221516076 500568
G 225701468 999998 1000016
R 0 1000000 1000000
D 226022700 500568
G 229701540 999998 1000016
R 0 1000000 1000000
D 230529324 500572
G 234701632 999998 1000016
R 0 1000000 1000000
D 235035952 500568
G 238701704 999998 1000016
R 0 1000000 1000000
D 239542576 500572
